연도,구분,피싱,파밍,메모리해킹,메신저이용사기,사이버금융 기타
2024,발생건수,12810,11,14,3683,2005
2024,검거건수,193,4,6,681,443
2023,발생건수,3645,38,19,13179,4501
2023,검거건수,733,8,2,2923,1671
2022,발생건수,3028,20,14,15856,4516
2022,검거건수,659,5,0,4003,1503
2021,발생건수,2731,29,12,16505,4484
2021,검거건수,532,10,5,3567,1459
2020,발생건수,1519,29,9,12402,2884
2020,검거건수,388,16,6,2873,776
2019,발생건수,2874,45,11,2756,2825
2019,검거건수,984,39,3,811,1040
2018,발생건수,1978,191,11,0,1742
2018,검거건수,936,100,5,0,857
